sample_id,fusion_mode,p1_score,p2_score,p3_score,predicted_h_score,reconstructed_h_score,fusion_absolute_error
geo_0612,PARTIAL_RENORMALIZED,0.0,,0.1799,0.0642,0.0642,0.0
geo_0613,PARTIAL_RENORMALIZED,0.1594,,0.0872,0.1336,0.1336,0.0
geo_0614,PARTIAL_RENORMALIZED,0.9916,,0.0529,0.6564,0.6564,0.0
geo_0615,PARTIAL_RENORMALIZED,0.3269,,0.488,0.3844,0.3844,0.0
geo_0616,PARTIAL_RENORMALIZED,0.9315,,0.2439,0.686,0.686,0.0
geo_0617,PARTIAL_RENORMALIZED,0.0359,,0.1332,0.0706,0.0706,0.0
geo_0618,PARTIAL_RENORMALIZED,0.4179,,0.1207,0.3118,0.3118,0.0
geo_0619,PARTIAL_RENORMALIZED,0.6464,,0.3868,0.5537,0.5537,0.0
geo_0620,PARTIAL_RENORMALIZED,0.8314,,0.3735,0.6679,0.6679,0.0
geo_0621,PARTIAL_RENORMALIZED,0.5,,0.1429,0.3725,0.3725,0.0
geo_0622,PARTIAL_RENORMALIZED,0.986,,0.1988,0.7049,0.7049,0.0
geo_0623,PARTIAL_RENORMALIZED,0.2605,,0.1843,0.2333,0.2333,0.0
geo_0624,PARTIAL_RENORMALIZED,0.7257,,0.1453,0.5184,0.5184,0.0
geo_0625,PARTIAL_RENORMALIZED,0.2765,,0.0775,0.2054,0.2054,0.0
geo_0626,PARTIAL_RENORMALIZED,0.997,,0.0482,0.6582,0.6582,0.0
geo_0627,PARTIAL_RENORMALIZED,0.3285,,0.4802,0.3827,0.3827,0.0
geo_0628,PARTIAL_RENORMALIZED,0.14,,0.2016,0.162,0.162,0.0
geo_0629,PARTIAL_RENORMALIZED,0.3336,,0.1859,0.2809,0.2809,0.0
geo_0630,PARTIAL_RENORMALIZED,0.9897,,0.0689,0.6609,0.6609,0.0
geo_0631,PARTIAL_RENORMALIZED,0.5535,,0.1742,0.4181,0.4181,0.0
geo_0632,PARTIAL_RENORMALIZED,0.018,,0.1175,0.0535,0.0535,0.0
geo_0633,PARTIAL_RENORMALIZED,0.6358,,0.1434,0.46,0.46,0.0
geo_0634,PARTIAL_RENORMALIZED,0.997,,0.0362,0.6539,0.6539,0.0
geo_0635,PARTIAL_RENORMALIZED,0.8177,,0.4111,0.6725,0.6725,0.0
geo_0636,PARTIAL_RENORMALIZED,0.8209,,0.2457,0.6155,0.6155,0.0
geo_0637,PARTIAL_RENORMALIZED,0.3374,,0.0767,0.2443,0.2443,0.0
geo_0638,PARTIAL_RENORMALIZED,0.9906,,0.0633,0.6595,0.6595,0.0
geo_0639,PARTIAL_RENORMALIZED,0.4902,,0.1613,0.3727,0.3727,0.0
geo_0640,PARTIAL_RENORMALIZED,0.909,,0.1205,0.6274,0.6274,0.0
geo_0641,PARTIAL_RENORMALIZED,0.3301,,0.1337,0.26,0.26,0.0
geo_0642,PARTIAL_RENORMALIZED,0.997,,0.0746,0.6676,0.6676,0.0
geo_0643,PARTIAL_RENORMALIZED,0.737,,0.4948,0.6505,0.6505,0.0
geo_0644,PARTIAL_RENORMALIZED,0.909,,0.1702,0.6452,0.6452,0.0
geo_0645,PARTIAL_RENORMALIZED,0.2356,,0.0429,0.1668,0.1668,0.0
geo_0646,PARTIAL_RENORMALIZED,0.997,,0.0003,0.6411,0.6411,0.0
geo_0647,PARTIAL_RENORMALIZED,0.3366,,0.3443,0.3393,0.3393,0.0
geo_0648,PARTIAL_RENORMALIZED,0.7483,,0.3473,0.6051,0.6051,0.0
geo_0649,PARTIAL_RENORMALIZED,0.5323,,0.2,0.4136,0.4136,0.0
geo_0650,PARTIAL_RENORMALIZED,0.9707,,0.0564,0.6442,0.6442,0.0
pol_0651,PARTIAL_RENORMALIZED,0.0,,0.1811,0.0647,0.0647,0.0
pol_0652,PARTIAL_RENORMALIZED,0.0857,,0.106,0.0929,0.0929,0.0
pol_0653,PARTIAL_RENORMALIZED,0.3678,,0.2037,0.3092,0.3092,0.0
pol_0654,PARTIAL_RENORMALIZED,0.6506,,0.1839,0.4839,0.4839,0.0
pol_0655,PARTIAL_RENORMALIZED,0.1624,,0.1619,0.1622,0.1622,0.0
pol_0656,PARTIAL_RENORMALIZED,0.1252,,0.1743,0.1427,0.1427,0.0
pol_0657,PARTIAL_RENORMALIZED,0.4502,,0.0844,0.3196,0.3196,0.0
pol_0658,PARTIAL_RENORMALIZED,0.4881,,0.0694,0.3386,0.3386,0.0
pol_0659,PARTIAL_RENORMALIZED,0.2844,,0.121,0.226,0.226,0.0
pol_0660,PARTIAL_RENORMALIZED,0.9,,0.1037,0.6156,0.6156,0.0
pol_0661,PARTIAL_RENORMALIZED,0.4134,,0.0636,0.2885,0.2885,0.0
pol_0662,PARTIAL_RENORMALIZED,0.0,,0.0617,0.022,0.022,0.0
pol_0663,PARTIAL_RENORMALIZED,0.0,,0.0691,0.0247,0.0247,0.0
pol_0664,PARTIAL_RENORMALIZED,0.175,,0.1189,0.155,0.155,0.0
pol_0665,PARTIAL_RENORMALIZED,0.3255,,0.1622,0.2672,0.2672,0.0
pol_0666,PARTIAL_RENORMALIZED,0.0,,0.092,0.0329,0.0329,0.0
pol_0667,PARTIAL_RENORMALIZED,0.439,,0.1005,0.3181,0.3181,0.0
pol_0668,PARTIAL_RENORMALIZED,0.9,,0.1101,0.6179,0.6179,0.0
pol_0669,PARTIAL_RENORMALIZED,0.5261,,0.2139,0.4146,0.4146,0.0
pol_0670,PARTIAL_RENORMALIZED,0.4969,,0.0782,0.3474,0.3474,0.0
pol_0671,PARTIAL_RENORMALIZED,0.0,,0.1021,0.0365,0.0365,0.0
pol_0672,PARTIAL_RENORMALIZED,0.1571,,0.148,0.1539,0.1539,0.0
pol_0673,PARTIAL_RENORMALIZED,0.2058,,0.0867,0.1633,0.1633,0.0
pol_0674,PARTIAL_RENORMALIZED,0.3381,,0.0658,0.2409,0.2409,0.0
pol_0675,PARTIAL_RENORMALIZED,0.3473,,0.137,0.2722,0.2722,0.0
pol_0676,PARTIAL_RENORMALIZED,0.9,,0.215,0.6554,0.6554,0.0
pol_0677,PARTIAL_RENORMALIZED,0.3083,,0.0737,0.2245,0.2245,0.0
pol_0678,PARTIAL_RENORMALIZED,0.4927,,0.0772,0.3443,0.3443,0.0
pol_0679,PARTIAL_RENORMALIZED,0.0,,0.0978,0.0349,0.0349,0.0
pol_0680,PARTIAL_RENORMALIZED,0.1036,,0.1862,0.1331,0.1331,0.0
pol_0681,PARTIAL_RENORMALIZED,0.3797,,0.061,0.2659,0.2659,0.0
pol_0682,PARTIAL_RENORMALIZED,0.4382,,0.089,0.3135,0.3135,0.0
pol_0683,PARTIAL_RENORMALIZED,0.0,,0.1481,0.0529,0.0529,0.0
pol_0684,PARTIAL_RENORMALIZED,0.4997,,0.2068,0.3951,0.3951,0.0
pol_0685,PARTIAL_RENORMALIZED,0.4303,,0.1926,0.3454,0.3454,0.0
pol_0686,PARTIAL_RENORMALIZED,0.4995,,0.0814,0.3502,0.3502,0.0
pol_0687,PARTIAL_RENORMALIZED,0.0,,0.1601,0.0572,0.0572,0.0
pol_0688,PARTIAL_RENORMALIZED,0.1214,,0.4374,0.2342,0.2342,0.0
pol_0689,PARTIAL_RENORMALIZED,0.3917,,0.2175,0.3295,0.3295,0.0
pol_0690,PARTIAL_RENORMALIZED,0.4958,,0.0413,0.3335,0.3335,0.0
pol_0691,PARTIAL_RENORMALIZED,0.0,,0.162,0.0579,0.0579,0.0
pol_0692,PARTIAL_RENORMALIZED,0.05,,0.1245,0.0766,0.0766,0.0
pol_0693,PARTIAL_RENORMALIZED,0.4971,,0.0732,0.3457,0.3457,0.0
pol_0694,PARTIAL_RENORMALIZED,0.7315,,0.0844,0.5004,0.5004,0.0
pol_0695,PARTIAL_RENORMALIZED,0.4576,,0.1307,0.3409,0.3409,0.0
pol_0696,PARTIAL_RENORMALIZED,0.0,,0.3331,0.119,0.119,0.0
pol_0697,PARTIAL_RENORMALIZED,0.3424,,0.0635,0.2428,0.2428,0.0
pol_0698,PARTIAL_RENORMALIZED,0.0,,0.1547,0.0552,0.0552,0.0
pol_0699,PARTIAL_RENORMALIZED,0.0,,0.1162,0.0415,0.0415,0.0
pol_0700,PARTIAL_RENORMALIZED,0.2335,,0.2218,0.2293,0.2293,0.0
lit_0701,PARTIAL_RENORMALIZED,0.9,,0.0789,0.6068,0.6068,0.0
lit_0702,PARTIAL_RENORMALIZED,0.0,,0.0806,0.0288,0.0288,0.0
lit_0703,PARTIAL_RENORMALIZED,0.0,,0.2411,0.0861,0.0861,0.0
lit_0704,PARTIAL_RENORMALIZED,0.9,,0.1035,0.6156,0.6156,0.0
lit_0705,PARTIAL_RENORMALIZED,0.0032,,0.1044,0.0393,0.0393,0.0
lit_0706,PARTIAL_RENORMALIZED,0.0024,,0.2414,0.0877,0.0877,0.0
lit_0707,PARTIAL_RENORMALIZED,0.0,,0.0936,0.0334,0.0334,0.0
lit_0708,PARTIAL_RENORMALIZED,0.012,,0.073,0.0338,0.0338,0.0
lit_0709,PARTIAL_RENORMALIZED,0.0031,,0.0477,0.019,0.019,0.0
lit_0710,PARTIAL_RENORMALIZED,0.0,,0.0581,0.0207,0.0207,0.0
lit_0711,PARTIAL_RENORMALIZED,0.9843,,0.0747,0.6595,0.6595,0.0
lit_0712,PARTIAL_RENORMALIZED,0.012,,0.0955,0.0418,0.0418,0.0
lit_0713,PARTIAL_RENORMALIZED,0.0032,,0.0727,0.028,0.028,0.0
lit_0714,PARTIAL_RENORMALIZED,0.0043,,0.0467,0.0194,0.0194,0.0
lit_0715,PARTIAL_RENORMALIZED,0.0092,,0.1103,0.0453,0.0453,0.0
lit_0716,PARTIAL_RENORMALIZED,0.006,,0.039,0.0178,0.0178,0.0
lit_0717,PARTIAL_RENORMALIZED,0.9,,0.1156,0.6199,0.6199,0.0
lit_0718,PARTIAL_RENORMALIZED,0.0049,,0.0491,0.0207,0.0207,0.0
lit_0719,PARTIAL_RENORMALIZED,0.0,,0.117,0.0418,0.0418,0.0
lit_0720,PARTIAL_RENORMALIZED,0.5312,,0.1505,0.3953,0.3953,0.0
lit_0721,PARTIAL_RENORMALIZED,0.252,,0.1048,0.1994,0.1994,0.0
lit_0722,PARTIAL_RENORMALIZED,0.0069,,0.2455,0.0921,0.0921,0.0
lit_0723,PARTIAL_RENORMALIZED,0.0711,,0.1053,0.0833,0.0833,0.0
lit_0724,PARTIAL_RENORMALIZED,0.0089,,0.1634,0.0641,0.0641,0.0
lit_0725,PARTIAL_RENORMALIZED,0.0032,,0.0969,0.0367,0.0367,0.0
lit_0726,PARTIAL_RENORMALIZED,0.0024,,0.0135,0.0064,0.0064,0.0
lit_0727,PARTIAL_RENORMALIZED,0.3259,,0.0894,0.2414,0.2414,0.0
lit_0728,PARTIAL_RENORMALIZED,0.0044,,0.0256,0.012,0.012,0.0
lit_0729,PARTIAL_RENORMALIZED,0.0032,,0.0679,0.0263,0.0263,0.0
lit_0730,PARTIAL_RENORMALIZED,0.0024,,0.0422,0.0166,0.0166,0.0
lit_0731,PARTIAL_RENORMALIZED,0.0816,,0.1542,0.1075,0.1075,0.0
lit_0732,PARTIAL_RENORMALIZED,0.0027,,0.0752,0.0286,0.0286,0.0
lit_0733,PARTIAL_RENORMALIZED,0.0031,,0.0606,0.0236,0.0236,0.0
lit_0734,PARTIAL_RENORMALIZED,0.5001,,0.1189,0.364,0.364,0.0
lit_0735,PARTIAL_RENORMALIZED,0.3571,,0.0573,0.25,0.25,0.0
lit_0736,PARTIAL_RENORMALIZED,0.0,,0.0797,0.0285,0.0285,0.0
lit_0737,PARTIAL_RENORMALIZED,0.0032,,0.0656,0.0255,0.0255,0.0
lit_0738,PARTIAL_RENORMALIZED,0.7185,,0.5697,0.6654,0.6654,0.0
lit_0739,PARTIAL_RENORMALIZED,0.3019,,0.1272,0.2395,0.2395,0.0
lit_0740,PARTIAL_RENORMALIZED,0.0878,,0.0689,0.0811,0.0811,0.0
lit_0741,PARTIAL_RENORMALIZED,0.0031,,0.0031,0.0031,0.0031,0.0
lit_0742,PARTIAL_RENORMALIZED,0.0024,,0.0144,0.0067,0.0067,0.0
lit_0743,PARTIAL_RENORMALIZED,0.0037,,0.0951,0.0363,0.0363,0.0
lit_0744,PARTIAL_RENORMALIZED,0.0089,,0.0326,0.0174,0.0174,0.0
lit_0745,PARTIAL_RENORMALIZED,0.0031,,0.0722,0.0278,0.0278,0.0
lit_0746,PARTIAL_RENORMALIZED,0.0064,,0.0384,0.0178,0.0178,0.0
lit_0747,PARTIAL_RENORMALIZED,0.2919,,0.1223,0.2313,0.2313,0.0
lit_0748,PARTIAL_RENORMALIZED,0.006,,0.0336,0.0159,0.0159,0.0
lit_0749,PARTIAL_RENORMALIZED,0.0031,,0.0001,0.002,0.002,0.0
lit_0750,PARTIAL_RENORMALIZED,0.0024,,0.0279,0.0115,0.0115,0.0
